Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Priority,Test Type,Precondition Key,Test Set Key,,
,,3303,,,"Click on ""Camera"" Button",Permission window pop-up asking for camera/record audio/record video permissions.,,,,,,
FR3: Messaging,Negative,3304,Can't Send a photo/video in a chat from gallery without permission,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3304,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3304,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3304,,,"Click on ""photo/video"" Button",Permission window pop-up asking for gallery access permission.,,,,,,
FR3: Messaging,Negative,3305,Can't Send a recorded audio in a chat from gallery without permission,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3305,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3305,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3305,,,"Click on ""MIC"" Button",Permission window pop-up asking for record audio permission.,,,,,,
FR3: Messaging,Negative,3306,Message isn't deleted when interrupted by a phone call,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3306,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3306,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3306,,,Click on Message Textbox ,Keyboard pop-up,,,,,,
,,3306,,,Write dummy text,,,,,,,
,,3306,,,Phone call is recieved ,,,,,,,
,,3306,,,Phone call is finished ,,,,,,,
,,3306,,,Click on send button,Message is sent,,,,,,
FR3: Messaging,Negative,3307,can't make a voice call when messenger isn't downloaded,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3307,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3307,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3307,,,Click on voice call button,redirected to facebook messenger download page,,,,,,
FR3: Messaging,Negative,3308,can't make a video call when messenger isn't downloaded,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-278,,
,,3308,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3308,,,Click on any friend chat,chat window opens with Friend name as title.,,,,,,
,,3308,,,Click on video call button,redirected to facebook messenger download page,,,,,,
