Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Test Type,Precondition Key,Test Set Key,,
,,2302,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2302,,,"Click on ""Story""",,,,,,
,,2302,,,"Click on ""camera"" button in the lower right",pop-up window asking about the permission of accessing camera,,,,,
FR2: Adding Stories,Negative,2303,Can't Add a story with one photo from gallery without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2303,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2303,,,"Click on ""Story""",pop-up window asking about the permission of accessing gallery,,,,,
FR2: Adding Stories,Negative,2304,Can't Add a story with one video from camera without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2304,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2304,,,"Click on ""Story""",,,,,,
,,2304,,,"Click on ""camera"" button in the lower right","pop-up windows open asking about the permission of accessing camera , record audio and record video",,,,,
FR2: Adding Stories,Negative,2305,Videos with more than 26 seconds duration won't fit one story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2305,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2305,,,"Click on ""Story""",,,,,,
,,2305,,,Choose a long video (>26 secs) ,"Trim option with ""Longer videos get shortened"" messsage pops up and video is trimmed to 26 seconds",,,,,
FR2: Adding Stories,Negative,2306,Can't add test to stories more than 256 english characters,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2306,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2306,,,"Click on ""Story""",,,,,,
,,2306,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2306,,,Write text (more than 256 characters),Can't add any characters and the test slightely shakes to indicate that,,,,,
FR2: Adding Stories,Negative,2307,Can't upload more than 4gb video as a story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2307,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2307,,,"Click on ""Story""",,,,,,
,,2307,,,choos the desired video,"an error pop-up message opens indicating that ""size is too large'",,,,,
FR2: Adding Stories,Negative,2308,"Can't save a photo as a story without adding anything (text , sticker or music) to it",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2308,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2308,,,"Click on ""Story""",,,,,,
,,2308,,,choose a photo,Save option is not avaialble,,,,,
